recordID,analysisSingularTheme,p_stem_syllabified,p_stem_syllabified_corrected,Notes,lexiconGlossEnglish
2622,sslukt,s.lu.kts,ss.lu.kt,switched linear order,ceremony involving verses of Koran
2644,ʁʷijji,ʁi.jij,ʁij.ji,switched linear order,shout
2651,wriq,riqw,w.riq,switched linear order,paper
2654,fijji,fi.jij,fij.ji,switched linear order,meat
2694,wlaħ,laħw,w.laħ,switched linear order,leerfish
2,lʕssa,l.ʕs.sa,,,act of standing on guard or watch
3,!lkdran,l.kd.ran,,,tar
4,lʕum,l.ʕum,,,swimming
5,!drikuk,d.ri.kuk,,,horsefly
6,ajdr,aj.dr,,,stubble
7,gʃrir,gʃ.rir,,,balance (tool)
8,χʷsmar,χs.mar,,,beardless chin
9,lħsab,lħ.sab,,,calculation
10,ktatbi,k.tat.bi,,,activity of a public writer
11,!mʃʃurda,mʃ.ʃur.da,,,participation in the maintenance of the fqih
13,!mħħudra,mħ.ħud.ra,,,quality of a quran learner
15,mssufra,ms.suf.ra,,,journey
16,nffulsa,nf.ful.sa,,,guarding
17,nllumda,nl.lum.da,,,learning
18,nmmuʁra,nm.muʁ.ra,,,notability
19,nqqurfa,nq.qur.fa,,,drought
20,nttulfa,nt.tul.fa,,,bewilderment
21,!ntturfa,nt.tur.fa,,,isolation
23,nzzumma,nz.zum.ma,,,stench
24,ammaj,am.maj,,,To do
25,!dduggla,d.dug.g.la,,,quality of being in a in-law relationship
26,mmussna,m.mus.s.na,,,awareness
27,!mmuttla,m.mut.t.la,,,delay
28,mmuzzla,m.muz.z.la,,,brokerage
29,ʃʃurfa,ʃ.ʃur.fa,,,holiness
30,ʃʃurka,ʃ.ʃur.ka,,,association
31,!dduʒra,d.duʒ.ra,,,neighborhood
32,mmuʁra,m.muʁ.ra,,,notability
33,mmuksa,m.muk.sa,,,problematic situation
34,mmunja,m.mun.ja,,,horse riding
35,mmuzʁa,m.muz.ʁa,,,"Amazighity, freedom"
36,nnubga,n.nub.ga,,,"invitation, visit"
37,rrugza,r.rug.za,,,virility
38,rruksa,r.ruk.sa,,,blend
39,ttulba,t.tul.ba,,,quality of having the duty of a taleb
41,skazzaj,s.kaz.zaj,,,screeching
42,aga,a.ga,,,curse
43,adaw,a.daw,,,back (of animal)
44,guri,gu.ri,,,oversize
45,mafaman,ma.fa.man,,,dowser
46,!agʷrd,a.grd,,,"back, rear"
47,sksl,sk.sl,,,type of window
48,smkl,sm.kl,,,food container
49,mʕʃʃr,m.ʕʃ.ʃr,,,"fellow, companion"
51,ssndu,s.sn.du,,,wooden shaker of a wineskin for churning milk (for butter)
53,mndi,mn.di,,,"grains, cereals"
54,!frziz,fr.ziz,,,gourd
56,kntur,kn.tur,,,goat
58,sbbab,sb.bab,,,person who helps with birth
59,swi,s.wi,,,animal stomach contents
60,!ʃbar,ʃ.bar,,,promontory dominating a locality
61,ussif,us.sif,,,splinter
62,uzlim,uz.lim,,,scissors
64,!ʃbaru,ʃ.ba.ru,,,a kind of plant
65,ħbari,ħ.ba.ri,,,type of horse
66,ndaru,n.da.ru,,,someone who shares a meal
67,adaj,a.daj,,,toponym
68,satm,sa.tm,,,niche
69,miri,mi.ri,,,agricultural terrace
70,!mazuz,ma.zuz,,,grown late in the agricultural year
78,gʷilal,gi.lal,,,kind of horse with long mane (foal)
79,kʷndrris,kn.dr.ris,,,"giblets, salted and dried"
80,lmgzzr,lm.gz.zr,,,slaughterhouse
83,stara,s.ta.ra,,,"chords (music), musical preamble"
84,nrbi,nr.bi,,,given birth
86,msaʁ,m.saʁ,,,purchase
88,msaʁ,m.saʁ,,,buyer
89,slum,s.lum,,,act of swallowing a powder
90,slaj,s.laj,,,act of grilling
91,skkir,sk.kir,,,"act, attitude"
92,!mʕʃur,mʕ.ʃur,,,actor carnival
93,krraf,kr.raf,,,Action to attach
94,ssndu,s.sn.du,,,churning action
95,ukkim,uk.kim,,,beating
96,!ħttu,ħt.tu,,,act of hiding
97,arrag,ar.rag,,,act of breaking
99,biks,bi.ks,,,act of girding
100,addal,ad.dal,,,"act of covering, shawl"
101,guni,gu.ni,,,"act of sleeping, sleep"
102,sggiwr,sg.gi.wr,,,act of sitting
103,sbaqqaj,s.baq.qaj,,,"act of bursting, explosion"
104,ssufʁ,s.su.fʁ,,,act of bringing out 
105,!kttu,kt.tu,,,act of sniffing
106,ʃubbu,ʃub.bu,,,act of searching
108,lkmi,lk.mi,,,act of smoking
109,!mdaj,m.daj,,,act of tasting
110,mʁuri,m.ʁu.ri,,,"act of growing, greatness"
111,draw,d.raw,,,act of eating in community
112,zdaj,z.daj,,,act of putting side by side
113,smal,s.mal,,,act of showing
114,!zid,zid,,,"act of grinding, ground grain"
115,ʃtibbʃ,ʃ.tib.bʃ,,,act of wading
117,attaf,at.taf,,,act of plucking
118,sali,sa.li,,,act of carrying over the shoulder
119,srus,s.rus,,,act of placing
120,sdal,s.dal,,,act of covering
121,mmussu,m.mus.su,,,act of stirring
123,skubbr,s.kub.br,,,act of squatting
124,giwr,gi.wr,,,"act of sitting, sitting position"
125,untla,u.nt.la,,,act of hiding
126,ankra,a.nk.ra,,,act of getting up
127,ikni,ik.ni,,,act of leaning
128,kʷttaj,kt.taj,,,act of remembering
129,ʒgugl,ʒ.gu.gl,,,act of suspending ...
130,!sud,sud,,,"action of blowing (pejorative), anus (by metonymy)"
131,sram,s.ram,,,act of sharpening
132,!duri,du.ri,,,act of falling
133,!mʒikrr,m.ʒik.rr,,,act of dragging
134,awwaj,aw.waj,,,act of carrying
135,nggas,ng.gas,,,act of goring
136,zlam,z.lam,,,act of foreseeing
137,!sgruʒʒm,sg.ruʒ.ʒm,,,unfinished action
138,skkujs,sk.ku.js,,,way of sitting
139,snufl,s.nu.fl,,,panic
140,mχzni,m.χz.ni,,,enforcement officer (mokhazni)
142,lqqaʕ,lq.qaʕ,,,lamb
143,ʕwin,ʕ.win,,,aid
144,awwas,aw.was,,,aid (act of helping someone)
147,gidr,gi.dr,,,"eagle, hawk"
148,smmum,sm.mum,,,sour
151,nzl,n.zl,,,sting
152,mhmaz,mh.maz,,,sting
153,nʁuz,n.ʁuz,,,sting
154,saqqʷs,saq.qs,,,sting
156,fras,f.ras,,,sharpening
159,fr,fr,,,wing
160,fr,fr,,,"leaf, wing"
162,nrar,n.rar,,,area
165,luqqid,luq.qid,,,match
166,!lʕjud,lʕ.jud,,,lark
169,alluz,al.luz,,,almond
170,ħbib,ħ.bib,,,lover
171,hwawi,h.wa.wi,,,lover of music and singing
172,!mirzig,mir.zig,,,bitter (almond)
173,mddakkʷl,md.dak.kl,,,friend
174,iddukkla,id.duk.k.la,,,friendship
175,ajri,aj.ri,,,love
176,ħubban,ħub.ban,,,love (pejorative).
177,lbbiʁ,lb.biʁ,,,bulb (skin irritant)
178,!lhdr,lh.dr,,,"fun, party"
179,rggim,rg.gim,,,"curse, insult"
180,qdim,q.dim,,,old
182,ʁjjul,ʁj.jul,,,donkey
183,!azʁa,az.ʁa,,,angina
184,χlχal,χl.χal,,,ring
185,sggʷas,sg.gas,,,year
186,lbriħ,lb.riħ,,,"announcement of news, shouted"
190,sadmr,sad.mr,,,call
192,mgrud,mg.rud,,,"tamed, domesticated"
193,addaj,ad.daj,,,support
195,dggʷa,dg.ga,,,afternoon
196,aʕrab,aʕ.rab,,,Arabic
197,addag,ad.dag,,,"tree, bush"
198,qarid,qa.rid,,,money
201,lkkum,lk.kum,,,arrival
204,ssʁʷli,s.sʁ.li,,,ascension
205,zwag,z.wag,,,"asylum, exile"
206,snus,s.nus,,,non-adult donkey
208,uʃʃrka,uʃ.ʃr.ka,,,association
209,mʃʃrk,mʃ.ʃrk,,,partner
210,ʃrik,ʃ.rik,,,partner
211,nkruf,nk.ruf,,,"attached, hampered"
213,!nbbarsu,nb.bar.su,,,person suffering from depigmentation of the skin (vitiligo)
214,ziwal,zi.wal,,,person suffering from strabismus
215,sds,s.ds,,,trough
216,!lfttr,l.ft.tr,,,alms given at Eid al-Fitr (Festival of sweets)
219,!ʃʃaħur,ʃ.ʃa.ħur,,,miser
220,!bukad,bu.kad,,,blind person
222,llhf,ll.hf,,,greed
229,draj,d.raj,,,abortion
231,duku,du.ku,,,slipper
233,arras,ar.ras,,,broom
234,alaj,a.laj,,,broom
235,ʒgugl,ʒ.gu.gl,,,"swing, hammock, cradle"
236,arras,ar.ras,,,sweep
238,kur,kur,,,ball
240,ukris,uk.ris,,,bundle
241,ʃddad,ʃd.dad,,,headband
242,gra,g.ra,,,tub
243,amar,a.mar,,,beard
244,!ʃnid,ʃ.nid,,,hinny
245,!brhuʃ,br.huʃ,,,motley
246,!krkad,kr.kad,,,motley
247,ʁrrabu,ʁr.ra.bu,,,small boat
248,!barku,bar.ku,,,barque
249,zddar,zd.dar,,,"low, lower"
250,!barra,bar.ra,,,tail (piece of clothing)
251,!banna,ban.na,,,tail (piece of clothing)
252,frwal,fr.wal,,,tails (piece of clothing)
255,ħlajs,ħ.la.js,,,pack
256,ħħram,ħħ.ram,,,"bastard, scoundrel ..."
257,kuraj,ku.raj,,,stick
258,!χʷbbat,χb.bat,,,bat
261,suff,suf.f,,,"balloon, cavity formed by an intestine"
262,bʒʒaq,bʒ.ʒaq,,,"talkative, snob"
263,lddaj,ld.daj,,,slime
264,mrmur,mr.mur,,,slime
265,falkaj,fal.kaj,,,beautiful
266,rbib,r.bib,,,"son-in-law, daughter-in-law"
267,fulki,ful.ki,,,beauty
268,ʁnzur,ʁn.zur,,,beak
269,!frjad,fr.jad,,,"harelip, cleft lip"
271,qaddim,qad.dim,,,spade
272,!grwaz,gr.waz,,,person who lisps
273,tmtam,tm.tam,,,stutterer
274,tftaf,tf.taf,,,undecided
275,zimmr,zim.mr,,,ram
276,ħuli,ħu.li,,,ram
277,mrdi,mr.di,,,blessed
278,mbarki,m.bar.ki,,,blessed
279,nuhnnu,nu.hn.nu,,,rocking
280,duhdu,duh.du,,,"rocking, quiet"
281,mksa,mk.sa,,,shepherd
282,bidun,bi.dun,,,can
283,bzg,bzg,,,jewel
285,sgdl,sg.dl,,,chopping block
286,umlil,um.lil,,,white
287,mlli,ml.li,,,"whiteness, skin disease"
288,ird,i.rd,,,wheat
289,znbu,zn.bu,,,early wheat
290,magus,ma.gus,,,injured
293,iggs,ig.gs,,,injury
294,aggas,ag.gas,,,injury
295,mraz,m.raz,,,head injury
296,ʃhbun,ʃh.bun,,,blond
297,zgr,z.gr,,,beef
298,funas,fu.nas,,,beef
299,ssrʁu,s.sr.ʁu,,,firewood
300,!bidr,bi.dr,,,limp
301,!bidar,bi.dar,,,lame
303,ama,a.ma,,,edge
304,ir,ir,,,edge
305,mknanu,mk.na.nu,,,hunchback
306,nkkur,nk.kur,,,goat
307,kru,k.ru,,,goat
308,!aʁad,a.ʁad,,,goat
309,bukir,bu.kir,,,goat
310,imi,i.mi,,,mouth
311,gzzar,gz.zar,,,butcher
313,saqqun,saq.qun,,,plug
315,χχummi,χ.χum.mi,,,sulk
318,!bluz,b.luz,,,mud
319,allaʁ,al.laʁ,,,mud
323,flufu,f.lu.fu,,,"bubbling, foaming"
325,ʕbbud,ʕb.bud,,,pellet
326,!bggar,bg.gar,,,"herdsman, cowherd"
327,mugaj,mu.gaj,,,cattle
328,!sħurru,s.ħur.ru,,,braying
332,iʁil,i.ʁil,,,"arm, bent"
333,lgammu,l.gam.mu,,,flange
334,!qttaʕ,qt.taʕ,,,"brigand, bandit"
338,aqqur,aq.qur,,,"noise, tumult"
339,!mħrug,mħ.rug,,,burnt
342,ħrrig,ħr.rig,,,"burning, sharp pain"
343,ʃddir,ʃd.dir,,,"bush, thicket"
344,slħam,sl.ħam,,,burnous
345,χnif,χ.nif,,,burnous
346,χidus,χi.dus,,,burnous
350,!ħdu,ħ.du,,,stash
351,gʒdmmur,gʒ.dm.mur,,,parched cactus
352,!bbindr,b.bin.dr,,,cockroach
353,lkʷnnaʃ,l.kn.naʃ,,,notebook
354,!ħttid,ħt.tid,,,clot
356,ħzzar,ħz.zar,,,cajolery
357,ħsasbi,ħ.sas.bi,,,"calculating, scheming person"
359,ʕkkaz,ʕk.kaz,,,cane
360,qlmun,ql.mun,,,cap
361,asqaqaj,as.qa.qaj,,,cackling
363,qllal,ql.lal,,,"carafe, head (pejorative)."
364,!mʃd,m.ʃd,,,card
365,qrʃal,qr.ʃal,,,card
367,!kid,kid,,,carob tree
369,uzun,u.zun,,,square of cultivated land
370,ʒʒlliʒ,ʒ.ʒl.liʒ,,,tile
371,mazzr,maz.zr,,,cascade
375,mrrag,mr.rag,,,"breaker (e.g., stone breaker)"
378,msnaj,ms.naj,,,horse rider
379,mnaj,m.naj,,,horse rider
380,mkrud,mk.rud,,,what or who is scratched
381,!bukd,bu.kd,,,blindness
384,bikks,bik.ks,,,belt
385,aggʷs,ag.gs,,,belt
386,ʕzri,ʕz.ri,,,single
387,bʃʃar,bʃ.ʃar,,,one who announces ...
388,msgilli,ms.gil.li,,,one who swears
389,mgilli,m.gil.li,,,one who swears
390,mrgul,mr.gul,,,one that locks
391,iʁd,i.ʁd,,,ash
392,uʃʃn,uʃ.ʃn,,,jackal
394,mlħaf,ml.ħaf,,,shawl
396,irʁi,ir.ʁi,,,heat
397,ħanu,ħa.nu,,,room
398,!rʕm,r.ʕm,,,camel
399,rffak,rf.fak,,,chamel driver
400,igr,i.gr,,,field
401,gʷrsl,gr.sl,,,mushroom
402,urar,u.rar,,,"singing, song"
403,marg,ma.rg,,,"singing, poetry"
405,marir,ma.rir,,,singer
406,mtʃi,mt.ʃi,,,weevil
407,akuz,a.kuz,,,weevil
408,awgga,a.wg.ga,,,"load, burden (like carrying wood)"
410,!midrus,mid.rus,,,carrion
411,skrz,s.krz,,,plow
413,gʷmr,g.mr,,,hunting
414,ngʷmr,ng.mr,,,"hunting, fishing"
417,ngʷmar,ng.mar,,,hunter
418,!sjjad,sj.jad,,,"hunter, fisherman"
421,ʁaras,ʁa.ras,,,path
423,gʷmar,g.mar,,,horse (intended for breeding)
424,ajjis,aj.jis,,,horse
425,!kitar,ki.tar,,,horse
426,azzar,az.zar,,,hair
428,ʁʒd,ʁʒd,,,kid (small goat)
429,bʒgi,bʒ.gi,,,"chichi, fuss"
430,ajdi,aj.di,,,dog
431,kzin,k.zin,,,dog
432,!uskaj,us.kaj,,,dog
435,!ʃrwid,ʃr.wid,,,cloth
436,blbbuz,blb.buz,,,puppy
437,ʃlħi,ʃl.ħi,,,speaker of Tashlhiyt
438,ʁawsa,ʁaw.sa,,,thing
439,!rumi,ru.mi,,,Christian
440,sraj,s.raj,,,"fall of feathers, of hair ..."
441,gzzaj,gz.zaj,,,"vaccination scar, scarification"
442,gnna,gn.na,,,sky
443,bllarʒ,bl.la.rʒ,,,stork
444,afa,a.fa,,,"top (of tree, mountain)"
445,!smdl,sm.dl,,,cemetery
447,χʷmasi,χ.ma.si,,,fifth
449,ħʒʒam,ħʒ.ʒam,,,"circumciser, hairdresser"
451,aχsaj,aχ.saj,,,pumpkin
453,!msmar,ms.mar,,,nail
454,ul,ul,,,heart
457,lʕʃr,lʕ.ʃr,,,cohabitation
459,ʁʷmmir,ʁm.mir,,,corner
460,uqqu,uq.qu,,,coitus
463,ttqlliqa,tt.ql.li.qa,,,anger
464,mqllq,mq.llq,,,someone who is choleric or anxious
465,!rmmad,rm.mad,,,colic
466,zlag,z.lag,,,braided wire necklace
467,ldi,l.di,,,plow draw collar
470,ala,a.la,,,hill
471,awrir,aw.rir,,,hill
472,milla,mil.la,,,dove
473,ʃamuʃ,ʃa.muʃ,,,column
475,dχʷs,d.χs,,,colostrum
476,bddu,bd.du,,,beginning
478,mawal,ma.wal,,,"commentary, dictionary"
479,smmun,sm.mun,,,companion
480,smun,s.mun,,,companion
481,lfham,lf.ham,,,comprehension
483,lħsab,lħ.sab,,,"account, calculation"
486,mglaj,mg.laj,,,conductor of beasts
489,glaj,g.laj,,,conduct
490,baraz,ba.raz,,,showdown
491,siʁaʁ,si.ʁaʁ,,,conger (fish)
492,awsna,a.ws.na,,,knowledge
494,lbni,lb.ni,,,construction
496,!mʃiwr,m.ʃi.wr,,,"consultation, negotiation"
497,uraw,u.raw,,,contents of two clasped hands
498,slajmi,s.laj.mi,,,converted to Islam
499,mdraw,md.raw,,,guest
501,sram,s.ram,,,shavings
503,fullus,ful.lus,,,chicken / rooster
504,gajwar,gaj.war,,,raven
505,zikr,zi.kr,,,rope
506,dinan,di.nan,,,chord (music)
507,!gttus,gt.tus,,,thick rope
509,isk,i.sk,,,horn
510,ʁzdis,ʁz.dis,,,rib
511,sawn,sa.wn,,,coast
512,!mggrd,mg.grd,,,"neck, neck"
516,awrʁi,a.wr.ʁi,,,yellow
517,ʁgʷmmi,ʁ.gm.mi,,,corridor
518,dasil,da.sil,,,kick
521,abbaj,ab.baj,,,cut
522,sarag,sa.rag,,,"courtyard, patio"
525,azzla,az.z.la,,,action of running
527,iʁira,i.ʁi.ra,,,action of running
528,gzzajlu,gz.zaj.lu,,,"person who is short, small"
529,dllal,dl.lal,,,broker
530,!smsar,sm.sar,,,broker
531,sksu,sk.su,,,couscoussier
532,ajjaw,aj.jaw,,,"Grandson or granddaughter (by extension cousin, nephew)"
533,gni,g.ni,,,sewing
535,sdl,s.dl,,,lid
536,srgul,sr.gul,,,lid
537,!frsad,fr.sad,,,blanket
538,ʕban,ʕ.ban,,,blanket
539,faggu,fag.gu,,,blanket
540,aduli,a.du.li,,,"cover, ceiling"
543,mdlls,md.lls,,,twilight
544,qaʃʃa,qaʃ.ʃa,,,crest
545,ʁuzi,ʁu.zi,,,excavation
547,ʁʷjji,ʁj.ji,,,cry
548,!butztaz,bu.tz.taz,,,one who cries disagreeably
549,fif,fif,,,screening (sifting and sorting)
552,brraħ,br.raħ,,,"town crier, Bellman"
553,!nzad,n.zad,,,horsehair
554,ftas,f.tas,,,creek
556,agl,a.gl,,,fang
557,kʷlib,k.lib,,,wooden hook
559,furi,fu.ri,,,crust (due to a disease of the skin)
560,mumn,mu.mn,,,believer
561,buqqal,buq.qal,,,"pitcher, jug"
562,qnqum,qn.qum,,,bronze jug
565,nwal,n.wal,,,kitchen
566,nwi,n.wi,,,"baking, cooking"
567,!gruʒʒm,g.ruʒ.ʒm,,,Incomplete cooking incompleteness
568,anas,a.nas,,,copper (copper vessel)
569,χʷna,χ.na,,,"ass, rump"
570,!sud,sud,,,"ass, rump"
571,gnunni,g.nun.ni,,,somersault
574,fllaħ,fl.laħ,,,cultivator
575,ħwajʃ,ħ.wa.jʃ,,,group dance
578,!ʒndid,ʒn.did,,,stinger
579,!ʒnʒid,ʒn.ʒid,,,stinger
581,sbbaqqs,sb.baq.qs,,,stinger (insect)
583,nggu,ng.gu,,,of same age masc.
584,nfsad,nf.sad,,,debauched person
586,ʃrrig,ʃr.rig,,,tear
588,frak,f.rak,,,"discovery, enlightenment (intellectual), divination"
591,ʁuʒbu,ʁuʒ.bu,,,disgust
593,mkli,mk.li,,,breakfast
594,nwwaʃ,nw.waʃ,,,informer
595,rwwaj,rw.waj,,,padding
596,bʒwaj,bʒ.waj,,,delirium
599,fukku,fuk.ku,,,"release of someone, liberation"
605,zgn,z.gn,,,half
607,χllu,χl.lu,,,demolition
608,aχʷs,a.χs,,,tooth
613,zuzzr,zuz.zr,,,threshing of wheat
614,rrwa,rr.wa,,,threshing ...
616,ʁuni,ʁu.ni,,,spite
617,sitti,sit.ti,,,displacement
618,!bdan,b.dan,,,skin of animal
619,!gʷʒdad,gʒ.dad,,,"animal without tail, can be used figuratively to humans"
620,nakuf,na.kuf,,,uprooted plant or herb
621,ukuf,u.kuf,,,"rootlessness, detachment"
623,mggaru,mg.ga.ru,,,last
626,uguz,u.guz,,,descent
629,mnid,m.nid,,,before (lit. what is seen)
630,mzizal,m.zi.zal,,,front of face
631,!drig,d.rig,,,diarrhea
632,uggug,ug.gug,,,dam
633,bibi,bi.bi,,,turkey
634,mnsi,mn.si,,,dinner
638,nʁubu,n.ʁu.bu,,,disappearance
640,!azi,a.zi,,,"dispute, reprimand"
641,ʕʃari,ʕ.ʃa.ri,,,tenth
642,ʒllabi,ʒl.la.bi,,,jilbab
643,!dad,dad,,,finger
644,ikki,ik.ki,,,donation
650,!ʁrud,ʁ.rud,,,back
651,ttwilta,tt.wil.ta,,,dose of hashish wrapped in paper
652,!mħħad,mħ.ħad,,,sharp pain
653,!attan,at.tan,,,"pain, hurt, illness"
654,!ngaz,n.gaz,,,stomach pains
655,bldi,bl.di,,,country
656,klulu,k.lu.lu,,,glare
657,mrmd,mr.md,,,snorting
658,ʁatir,ʁa.tir,,,stilts (pejorative)
659,aʁlaʁal,aʁ.la.ʁal,,,echo
664,msluχ,ms.luχ,,,flayed
665,sraj,s.raj,,,scratch
666,ngi,n.gi,,,"flow, flood"
667,ssfld,ss.fld,,,listening
668,sħssu,sħs.su,,,listening
670,!bbaʒ,b.baʒ,,,crushing
671,lqaʒ,l.qaʒ,,,crushing
675,arra,ar.ra,,,written
678,!brbur,br.bur,,,scum
680,luffi,luf.fi,,,"froth, foam"
681,!anzid,an.zid,,,squirrel
682,frmaʃ,fr.maʃ,,,toothless (person)
683,!sfud,s.fud,,,erasure
685,akrraj,a.kr.raj,,,effort
686,iʁrsi,i.ʁr.si,,,sticking
688,udum,u.dum,,,"drip, drop fruit"
690,brraj,br.raj,,,scratch
691,lksib,lk.sib,,,breeding herd
692,!mħdar,mħ.dar,,,student
694,kssab,ks.sab,,,farmer
695,uggug,ug.gug,,,distance
696,aʒʒaj,aʒ.ʒaj,,,"slightly overweight, healthy"
697,mdaj,m.daj,,,"ambush, lookout"
698,fruri,f.ru.ri,,,crumbling
701,uttla,ut.t.la,,,swaddling
704,!zbar,z.bar,,,pruning
706,!zbbar,zb.bar,,,pruner
707,lkkawsu,lk.kaw.su,,,"lopper, pruner"
708,gʷnfrru,gn.fr.ru,,,blunting
709,ardaz,ar.daz,,,span
710,rqqas,rq.qas,,,emissary
711,!nazum,na.zum,,,"age of fasting, pubescent"
713,almbχχr,a.lm.bχ.χr,,,censer
715,grur,g.rur,,,enclosure
716,frag,f.rag,,,"enclosure, fence, fencing"
717,frig,f.rig,,,"paddock fence, hedge"
718,!gʷmmad,gm.mad,,,place in front
720,rbi,r.bi,,,child
721,azzan,az.zan,,,child
722,gsus,g.sus,,,hell
723,rwass,r.was.s,,,hell
724,snaj,s.naj,,,threading
726,bzzag,bz.zag,,,swelling
728,fna,f.na,,,someone or something that causes a loss
729,nnuʁʃf,n.nuʁ.ʃf,,,boredom
730,nnurʃif,n.nur.ʃif,,,"bored, restless person, someone with breathing difficulty"
731,agrwaz,a.gr.waz,,,hoarseness
732,agurzu,a.gur.zu,,,"hoarseness, an speech defect"
734,fggig,fg.gig,,,beam (for a loom)
