recordID,0
2446,Ablaut + Final A
2450,Ablaut
2451,Templatic
2452,Templatic
2454,Templatic
2462,Final A
2463,Templatic
2467,Templatic
2469,Templatic
2472,Templatic
2473,Templatic
2474,Templatic
2476,Templatic
2479,Templatic
2483,Templatic
2484,Templatic
2490,Templatic
2491,Final A
2492,Templatic
2493,Templatic
2497,Templatic
2498,Final Vw
2499,Templatic
2704,Insert C
2502,Templatic
2503,Templatic
2507,Templatic
2508,Templatic
2516,Templatic
2518,Ablaut
2524,Templatic
2527,Templatic
2536,Templatic
2547,Templatic
2548,Templatic
2551,Templatic
2552,Templatic
2559,Templatic
2562,Templatic
2563,Final Vw
2566,Templatic
2570,Templatic
2572,Templatic
2574,Templatic
2575,Templatic
2576,Templatic
2577,Templatic
2579,Templatic
2583,Templatic
2584,Templatic
2587,Templatic
2588,Templatic
2595,Templatic
2599,Ablaut + Medial A
2602,Templatic
2605,Templatic
2610,Templatic
2613,Ablaut + Medial A
2615,Templatic
2616,Templatic
2624,Templatic
2630,Templatic
2631,Templatic
2642,Medial A
2658,Ablaut
2659,Templatic
2667,Templatic
2669,Templatic
2674,Ablaut
2678,Templatic
2683,Ablaut + Medial A
2687,Templatic
2691,Insert C
2700,Ablaut
